decision_date,planned_week_start,date,activity,group,recommended_person_days
2027-05-11,2027-05-17,2027-05-18,Aisle maintenance,operative,1.0
2027-05-11,2027-05-17,2027-05-18,Co-Packing line,operative,4.0
2027-05-11,2027-05-17,2027-05-18,Control room,admin,2.0
2027-05-11,2027-05-17,2027-05-18,Inbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-18,Inventory,admin,2.0
2027-05-11,2027-05-17,2027-05-18,Loading,operative,5.1
2027-05-11,2027-05-17,2027-05-18,Outbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-18,Pick QA,operative,1.0
2027-05-11,2027-05-17,2027-05-18,Picking,operative,13.8
2027-05-11,2027-05-17,2027-05-18,Putaway,operative,12.2
2027-05-11,2027-05-17,2027-05-18,Receiving,operative,2.8
2027-05-11,2027-05-17,2027-05-18,Replenishment / relocation,operative,2.7
2027-05-11,2027-05-17,2027-05-18,Returns / QC,operative,1.0
2027-05-11,2027-05-17,2027-05-18,Staging,operative,7.9
2027-05-11,2027-05-17,2027-05-18,Team leads,operative,4.0
2027-05-11,2027-05-17,2027-05-18,Transit drivers,operative,4.1
2027-05-11,2027-05-17,2027-05-18,Unloading,operative,2.4
2027-05-11,2027-05-17,2027-05-18,VNA replenishment,operative,1.0
2027-05-11,2027-05-17,2027-05-18,Yard shunting,operative,2.0
2027-05-11,2027-05-17,2027-05-19,Aisle maintenance,operative,1.0
2027-05-11,2027-05-17,2027-05-19,Co-Packing line,operative,4.0
2027-05-11,2027-05-17,2027-05-19,Control room,admin,2.0
2027-05-11,2027-05-17,2027-05-19,Inbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-19,Inventory,admin,2.0
2027-05-11,2027-05-17,2027-05-19,Loading,operative,4.7
2027-05-11,2027-05-17,2027-05-19,Outbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-19,Pick QA,operative,1.0
2027-05-11,2027-05-17,2027-05-19,Picking,operative,10.8
2027-05-11,2027-05-17,2027-05-19,Putaway,operative,9.6
2027-05-11,2027-05-17,2027-05-19,Receiving,operative,2.4
2027-05-11,2027-05-17,2027-05-19,Replenishment / relocation,operative,2.6
2027-05-11,2027-05-17,2027-05-19,Returns / QC,operative,1.0
2027-05-11,2027-05-17,2027-05-19,Staging,operative,7.1
2027-05-11,2027-05-17,2027-05-19,Team leads,operative,4.0
2027-05-11,2027-05-17,2027-05-19,Transit drivers,operative,4.0
2027-05-11,2027-05-17,2027-05-19,Unloading,operative,2.1
2027-05-11,2027-05-17,2027-05-19,VNA replenishment,operative,1.0
2027-05-11,2027-05-17,2027-05-19,Yard shunting,operative,2.1
2027-05-11,2027-05-17,2027-05-20,Aisle maintenance,operative,1.0
2027-05-11,2027-05-17,2027-05-20,Co-Packing line,operative,4.2
2027-05-11,2027-05-17,2027-05-20,Control room,admin,2.0
2027-05-11,2027-05-17,2027-05-20,Inbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-20,Inventory,admin,2.0
2027-05-11,2027-05-17,2027-05-20,Loading,operative,5.1
2027-05-11,2027-05-17,2027-05-20,Outbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-20,Pick QA,operative,1.0
2027-05-11,2027-05-17,2027-05-20,Picking,operative,12.4
2027-05-11,2027-05-17,2027-05-20,Putaway,operative,12.8
2027-05-11,2027-05-17,2027-05-20,Receiving,operative,2.9
2027-05-11,2027-05-17,2027-05-20,Replenishment / relocation,operative,2.2
2027-05-11,2027-05-17,2027-05-20,Returns / QC,operative,1.0
2027-05-11,2027-05-17,2027-05-20,Staging,operative,8.2
2027-05-11,2027-05-17,2027-05-20,Team leads,operative,4.0
2027-05-11,2027-05-17,2027-05-20,Transit drivers,operative,4.1
2027-05-11,2027-05-17,2027-05-20,Unloading,operative,2.5
2027-05-11,2027-05-17,2027-05-20,VNA replenishment,operative,1.0
2027-05-11,2027-05-17,2027-05-20,Yard shunting,operative,2.0
2027-05-11,2027-05-17,2027-05-21,Aisle maintenance,operative,1.0
2027-05-11,2027-05-17,2027-05-21,Co-Packing line,operative,4.0
2027-05-11,2027-05-17,2027-05-21,Control room,admin,2.0
2027-05-11,2027-05-17,2027-05-21,Inbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-21,Inventory,admin,2.0
2027-05-11,2027-05-17,2027-05-21,Loading,operative,5.9
2027-05-11,2027-05-17,2027-05-21,Outbound office,admin,2.0
2027-05-11,2027-05-17,2027-05-21,Pick QA,operative,1.0
2027-05-11,2027-05-17,2027-05-21,Picking,operative,15.0
2027-05-11,2027-05-17,2027-05-21,Putaway,operative,11.3
2027-05-11,2027-05-17,2027-05-21,Receiving,operative,2.7
2027-05-11,2027-05-17,2027-05-21,Replenishment / relocation,operative,2.6
2027-05-11,2027-05-17,2027-05-21,Returns / QC,operative,1.0
2027-05-11,2027-05-17,2027-05-21,Staging,operative,8.0
2027-05-11,2027-05-17,2027-05-21,Team leads,operative,4.0
2027-05-11,2027-05-17,2027-05-21,Transit drivers,operative,4.1
2027-05-11,2027-05-17,2027-05-21,Unloading,operative,2.4
2027-05-11,2027-05-17,2027-05-21,VNA replenishment,operative,1.0
2027-05-11,2027-05-17,2027-05-21,Yard shunting,operative,2.0
2027-05-18,2027-05-24,2027-05-24,Aisle maintenance,operative,1.0
2027-05-18,2027-05-24,2027-05-24,Co-Packing line,operative,4.0
2027-05-18,2027-05-24,2027-05-24,Control room,admin,2.0
2027-05-18,2027-05-24,2027-05-24,Inbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-24,Inventory,admin,2.0
2027-05-18,2027-05-24,2027-05-24,Loading,operative,6.6
2027-05-18,2027-05-24,2027-05-24,Outbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-24,Pick QA,operative,1.0
2027-05-18,2027-05-24,2027-05-24,Picking,operative,13.8
2027-05-18,2027-05-24,2027-05-24,Putaway,operative,12.4
2027-05-18,2027-05-24,2027-05-24,Receiving,operative,2.7
2027-05-18,2027-05-24,2027-05-24,Replenishment / relocation,operative,2.3
2027-05-18,2027-05-24,2027-05-24,Returns / QC,operative,1.1
2027-05-18,2027-05-24,2027-05-24,Staging,operative,7.0
2027-05-18,2027-05-24,2027-05-24,Team leads,operative,4.0
2027-05-18,2027-05-24,2027-05-24,Transit drivers,operative,4.0
2027-05-18,2027-05-24,2027-05-24,Unloading,operative,2.3
2027-05-18,2027-05-24,2027-05-24,VNA replenishment,operative,1.0
2027-05-18,2027-05-24,2027-05-24,Yard shunting,operative,2.0
2027-05-18,2027-05-24,2027-05-25,Aisle maintenance,operative,1.0
2027-05-18,2027-05-24,2027-05-25,Co-Packing line,operative,4.0
2027-05-18,2027-05-24,2027-05-25,Control room,admin,2.0
2027-05-18,2027-05-24,2027-05-25,Inbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-25,Inventory,admin,2.0
2027-05-18,2027-05-24,2027-05-25,Loading,operative,5.4
2027-05-18,2027-05-24,2027-05-25,Outbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-25,Pick QA,operative,1.0
2027-05-18,2027-05-24,2027-05-25,Picking,operative,13.7
2027-05-18,2027-05-24,2027-05-25,Putaway,operative,12.8
2027-05-18,2027-05-24,2027-05-25,Receiving,operative,2.5
2027-05-18,2027-05-24,2027-05-25,Replenishment / relocation,operative,2.6
2027-05-18,2027-05-24,2027-05-25,Returns / QC,operative,1.0
2027-05-18,2027-05-24,2027-05-25,Staging,operative,7.7
2027-05-18,2027-05-24,2027-05-25,Team leads,operative,4.0
2027-05-18,2027-05-24,2027-05-25,Transit drivers,operative,4.0
2027-05-18,2027-05-24,2027-05-25,Unloading,operative,2.4
2027-05-18,2027-05-24,2027-05-25,VNA replenishment,operative,1.0
2027-05-18,2027-05-24,2027-05-25,Yard shunting,operative,2.0
2027-05-18,2027-05-24,2027-05-26,Aisle maintenance,operative,1.1
2027-05-18,2027-05-24,2027-05-26,Co-Packing line,operative,4.2
2027-05-18,2027-05-24,2027-05-26,Control room,admin,2.0
2027-05-18,2027-05-24,2027-05-26,Inbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-26,Inventory,admin,2.0
2027-05-18,2027-05-24,2027-05-26,Loading,operative,4.6
2027-05-18,2027-05-24,2027-05-26,Outbound office,admin,2.0
2027-05-18,2027-05-24,2027-05-26,Pick QA,operative,1.0
2027-05-18,2027-05-24,2027-05-26,Picking,operative,12.9
2027-05-18,2027-05-24,2027-05-26,Putaway,operative,9.4
2027-05-18,2027-05-24,2027-05-26,Receiving,operative,2.5
2027-05-18,2027-05-24,2027-05-26,Replenishment / relocation,operative,2.3
2027-05-18,2027-05-24,2027-05-26,Returns / QC,operative,1.0
