Datum/Volumen;13.09.2027;14.09.2027;15.09.2027;16.09.2027;17.09.2027;18.09.2027;19.09.2027
PAL_Wareneingang;1587;1560;1283;1547;1423;0;0
VollPAL_Warenausgang;1369;1521;1168;1544;1380;0;0
Picks_Warenausgang;10427;11368;8203;9912;8993;0;0
KomPAL_Warenausgang;300;312;232;261;257;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,4;2,5;2,1;2,4;2,6;0;0
Receiving;2,9;3,1;2,4;2,7;2,9;0;0
Putaway;12,6;11,3;11,8;12,6;11,1;0;0
Picking;10,9;10,2;7,7;10,0;9,1;0;0
Staging;8,4;8,2;7,9;7,4;7,8;0;0
Loading;6,0;5,6;5,5;5,7;5,8;0;0
Replenishment / relocation;2,8;2,7;2,1;2,4;2,6;0;0
Transit drivers;4,1;4,0;4,0;4,0;4,0;0;0
Yard shunting;2,0;2,0;2,1;2,0;2,1;0;0
Team leads;4,1;4,0;4,0;4,0;4,0;0;0
Pick QA;1,0;1,0;1,0;1,0;1,0;0;0
Co-Packing line;4,0;4,1;4,0;4,1;4,1;0;0
VNA replenishment;1,0;1,0;1,1;1,0;1,1;0;0
Returns / QC;1,0;1,0;1,1;1,0;1,1;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;1,0;0;0
Summe operativ;64,2;61,7;57,8;61,3;60,3;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
