date,present_total_person_days,present_operative_person_days
2026-05-18,64.25,56.25
2026-05-19,62.25,54.25
2026-05-20,58.75,50.75
2026-05-21,61.5,53.5
2026-05-22,62.25,54.25
2026-05-26,68.5,60.5
2026-05-27,59.25,51.25
2026-05-28,64.0,56.0
2026-05-29,63.5,55.5
2026-06-01,61.0,53.0
2026-06-02,62.0,54.0
2026-06-03,57.75,49.75
2026-06-05,68.25,60.25
2026-06-08,63.0,55.0
2026-06-09,62.0,54.0
2026-06-10,57.5,49.5
2026-06-11,61.25,53.25
2026-06-12,63.75,55.75
2026-06-15,62.0,54.0
2026-06-16,65.5,57.5
2026-06-17,60.25,52.25
2026-06-18,62.0,54.0
2026-06-19,65.75,57.75
2026-06-22,62.5,54.5
2026-06-23,63.0,55.0
2026-06-24,58.25,50.25
2026-06-25,62.0,54.0
2026-06-26,61.5,53.5
2026-06-29,62.25,54.25
2026-06-30,65.0,57.0
2026-07-01,58.25,50.25
2026-07-02,64.0,56.0
2026-07-03,59.75,51.75
2026-07-06,60.75,52.75
2026-07-07,63.75,55.75
2026-07-08,60.25,52.25
2026-07-09,58.5,50.5
2026-07-10,61.0,53.0
2026-07-13,60.75,52.75
2026-07-14,61.0,53.0
2026-07-15,57.0,49.0
2026-07-16,61.0,53.0
2026-07-17,61.0,53.0
2026-07-20,60.25,52.25
2026-07-21,60.5,52.5
2026-07-22,56.75,48.75
2026-07-23,64.75,56.75
2026-07-24,63.0,55.0
2026-07-27,61.5,53.5
2026-07-28,63.25,55.25
2026-07-29,56.75,48.75
2026-07-30,62.75,54.75
2026-07-31,62.75,54.75
2026-08-03,60.25,52.25
2026-08-04,58.25,50.25
2026-08-05,52.75,44.75
2026-08-06,59.75,51.75
2026-08-07,62.0,54.0
2026-08-10,59.0,51.0
2026-08-11,61.0,53.0
2026-08-12,57.25,49.25
2026-08-13,63.5,55.5
2026-08-14,62.0,54.0
2026-08-17,62.25,54.25
2026-08-18,63.0,55.0
2026-08-19,56.75,48.75
2026-08-20,64.5,56.5
2026-08-21,64.75,56.75
2026-08-24,60.5,52.5
2026-08-25,61.0,53.0
2026-08-26,58.25,50.25
2026-08-27,62.75,54.75
2026-08-28,61.0,53.0
2026-08-31,61.5,53.5
2026-09-01,61.25,53.25
2026-09-02,56.75,48.75
2026-09-03,62.25,54.25
2026-09-04,61.5,53.5
2026-09-07,62.5,54.5
2026-09-08,62.75,54.75
2026-09-09,57.0,49.0
2026-09-10,61.25,53.25
2026-09-11,61.75,53.75
2026-09-14,64.0,56.0
2026-09-15,60.5,52.5
2026-09-16,56.75,48.75
2026-09-17,62.0,54.0
2026-09-18,62.0,54.0
2026-09-21,61.0,53.0
2026-09-22,64.75,56.75
2026-09-23,61.25,53.25
2026-09-24,61.5,53.5
2026-09-25,66.75,58.75
2026-09-28,63.75,55.75
2026-09-29,65.75,57.75
2026-09-30,58.75,50.75
2026-10-01,66.75,58.75
2026-10-02,68.0,60.0
