date,picks_forecast,picks_realized,outbound_forecast,outbound_realized,inbound_forecast,inbound_realized
2026-05-18,9555,9587,1229,1228,1766,1850
2026-05-19,10774,10297,1382,1362,1608,1618
2026-05-20,8098,8234,1384,1362,1404,1470
2026-05-21,9653,10010,1558,1548,1579,1516
2026-05-22,9274,9155,1712,1631,1321,1377
2026-05-26,10257,10376,1478,1513,1912,2003
2026-05-27,8387,7890,1375,1481,1352,1421
2026-05-28,9633,9784,1565,1630,1499,1505
2026-05-29,9246,8871,1919,1971,1452,1411
2026-06-01,9591,9707,1244,1200,1777,1790
2026-06-02,10137,10208,1477,1501,1531,1516
2026-06-03,8012,7791,1356,1333,1328,1364
2026-06-05,9231,9514,1849,1846,1544,1626
2026-06-08,9753,10068,1247,1198,1771,1797
2026-06-09,10662,10599,1388,1363,1623,1616
2026-06-10,7851,7936,1395,1421,1341,1355
2026-06-11,9805,9711,1482,1446,1467,1473
2026-06-12,9348,8663,1808,1790,1369,1429
2026-06-15,9908,9740,1168,1208,1649,1689
2026-06-16,10799,11121,1409,1384,1611,1680
2026-06-17,8169,8654,1442,1462,1381,1408
2026-06-18,9854,9967,1501,1454,1521,1498
2026-06-19,9464,10171,1823,1835,1433,1456
2026-06-22,9534,9544,1232,1272,1745,1802
2026-06-23,10845,11157,1423,1410,1584,1542
2026-06-24,8206,8521,1351,1412,1339,1457
2026-06-25,9594,9806,1492,1529,1439,1482
2026-06-26,9727,9605,1833,1787,1362,1389
2026-06-29,9994,9821,1209,1157,1660,1590
2026-06-30,11000,11122,1440,1472,1594,1613
2026-07-01,8197,8356,1357,1367,1409,1413
2026-07-02,10074,9739,1514,1533,1541,1599
2026-07-03,9325,9178,1771,1731,1287,1257
2026-07-06,9390,9332,1183,1206,1682,1666
2026-07-07,10019,9988,1451,1462,1518,1530
2026-07-08,7635,7863,1310,1369,1270,1353
2026-07-09,8664,8226,1431,1481,1479,1503
2026-07-10,9191,9399,1696,1664,1264,1322
2026-07-13,9138,9473,1149,1173,1624,1569
2026-07-14,9726,9569,1356,1334,1524,1581
2026-07-15,7712,7965,1339,1418,1301,1338
2026-07-16,9513,9427,1416,1439,1473,1414
2026-07-17,9410,9768,1675,1720,1261,1277
2026-07-20,8903,8353,1103,1057,1639,1544
2026-07-21,9923,9671,1319,1183,1426,1341
2026-07-22,7670,6977,1314,1255,1300,1228
2026-07-23,9655,9167,1474,1452,1452,1387
2026-07-24,9396,8868,1788,1708,1332,1219
2026-07-27,8935,8815,1204,1138,1615,1466
2026-07-28,9851,9892,1414,1377,1445,1337
2026-07-29,7943,7928,1287,1227,1291,1187
2026-07-30,9770,9506,1436,1363,1456,1310
2026-07-31,9032,8578,1609,1571,1326,1326
2026-08-03,9662,9901,1158,1139,1634,1571
2026-08-04,9964,9652,1308,1217,1512,1445
2026-08-05,7572,7950,1274,1212,1261,1214
2026-08-06,9063,9164,1387,1442,1349,1393
2026-08-07,8975,9246,1716,1693,1322,1333
2026-08-10,8804,8746,1129,1155,1617,1649
2026-08-11,10091,10283,1356,1327,1473,1555
2026-08-12,7968,7942,1292,1359,1259,1263
2026-08-13,9852,10070,1502,1390,1431,1422
2026-08-14,9238,9268,1728,1747,1298,1244
2026-08-17,9785,9569,1229,1221,1774,1718
2026-08-18,10753,10604,1472,1515,1534,1458
2026-08-19,7924,7715,1401,1389,1358,1299
2026-08-20,9952,10471,1456,1530,1508,1532
2026-08-21,9745,10179,1778,1911,1341,1352
2026-08-24,9657,9443,1275,1332,1684,1683
2026-08-25,9960,9860,1403,1385,1643,1620
2026-08-26,8372,8451,1465,1467,1272,1340
2026-08-27,10660,10675,1522,1574,1480,1482
2026-08-28,9527,9525,1786,1762,1326,1239
2026-08-31,9702,10122,1261,1295,1669,1702
2026-09-01,10043,9844,1508,1470,1589,1628
2026-09-02,7796,7813,1454,1379,1312,1350
2026-09-03,9759,10344,1555,1489,1498,1501
2026-09-04,9487,9342,1801,1683,1296,1308
2026-09-07,9859,9677,1235,1262,1766,1767
2026-09-08,10921,10973,1453,1576,1559,1516
2026-09-09,7861,8084,1421,1495,1331,1333
2026-09-10,10228,9338,1578,1674,1488,1447
2026-09-11,9494,9377,1770,1834,1326,1243
2026-09-14,10269,10144,1325,1423,1746,1762
2026-09-15,10673,10238,1414,1407,1631,1538
2026-09-16,8561,8630,1384,1316,1430,1442
2026-09-17,10132,10740,1520,1516,1524,1435
2026-09-18,9733,10334,1916,1917,1321,1259
2026-09-21,10256,10118,1304,1283,1802,1733
2026-09-22,10926,11260,1577,1602,1627,1547
2026-09-23,9084,9064,1496,1515,1460,1499
2026-09-24,11062,10498,1504,1467,1513,1521
2026-09-25,10304,10568,2005,2028,1465,1474
2026-09-28,10474,10584,1366,1328,1952,1885
2026-09-29,11464,11859,1534,1516,1755,1735
2026-09-30,8775,8388,1565,1543,1445,1385
2026-10-01,11164,11008,1623,1727,1715,1669
2026-10-02,10625,11241,1994,1964,1475,1471
